Facility Name,Facility Address,Latitude,Longitude,NAICS Code,Pollutant,Source Type,Emissions in Tons,Year
Topflight Grain Co-operative,1 Main St,39.7987,-88.5295,424510,PM2.5 Primary (Filt + Cond,,0.602034367,2011
Contractors Concrete Inc,1601 S Raney St,39.1088,-88.5621,327320,PM2.5 Primary (Filt + Cond,,0,2011
HB Fuller Construction Products Inc,315 S Hicks Rd,42.1039,-88.0321,325520,PM2.5 Primary (Filt + Cond,,0.1745263,2011
Dukane Precast Co,2000 Plain Ave,41.7676,-88.2635,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.378555891,2011
Sjostrom & Sons Inc,Airport Quarry,42.1902,-89.1134,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.01358288,2011
Transparent Container Co Inc,325 Lombard Rd,41.9221,-88.0238,326199,PM2.5 Primary (Filt + Cond,,0,2011
Pacific Ethanol Pekin Inc,1300 S Second St,40.5568,-89.6634,325998,PM2.5 Primary (Filt + Cond,Ethanol Biorefineries/Soy Biodiesel,445.09759905,2011
Resource Technology Corp,11501 S Cottonwood Rd,40.7398,-89.7911,221112,PM2.5 Primary (Filt + Cond,,0.00005,2011
Sparta Animal Clinic,1031 S St Louis St,38.1084,-89.7043,541940,PM2.5 Primary (Filt + Cond,,0.0101822,2011
Elmhurst-Chicago Stone Co,400 W First St,41.899,-87.9586,212312,PM2.5 Primary (Filt + Cond,,0.42939915,2011
Blue Mound Compressor Station,SE of N 1400 E Rd & E 2500 N Rd,39.7123,-89.2689,486210,PM2.5 Primary (Filt + Cond,Compressor Station,7.432,2011
GE Health Care,3350 N Ridge Ave,42.1357,-87.9934,325413,PM2.5 Primary (Filt + Cond,,0,2011
Associated Sandblasting Systems,707 E Lincoln St,40.4659,-88.9844,339999,PM2.5 Primary (Filt + Cond,,0.009,2011
Innovative Fixture Solutions LLC,1122 Milford Ave,42.2016,-89.08,332618,PM2.5 Primary (Filt + Cond,,0.02128,2011
Stenstrom Sand & Gravel Group,5200 Rhodes St,42.4474,-89.015,212321,PM2.5 Primary (Filt + Cond,,0,2011
OSI Industries LLC Chicago Campus,4545 S Racine Ave,41.8121,-87.6535,311611,PM2.5 Primary (Filt + Cond,,2.65944,2011
Akron Services Inc,411 E Main St,40.5725,-89.8097,424510,PM2.5 Primary (Filt + Cond,,0.49692246,2011
Trinity Medical Center,500 John Deere Rd,41.4683,-90.5312,622110,PM2.5 Primary (Filt + Cond,"Institutional (school, hospital, prison, etc.)",0.4501,2011
Orr Grain Co,500 Railroad Ave,41.1682,-87.6539,424510,PM2.5 Primary (Filt + Cond,,0.146843703,2011
Peabody Arclar Mining LLC,420 Long Lane Rd,37.7663,-88.3909,333131,PM2.5 Primary (Filt + Cond,,1.4140488359,2011
East Lincoln Farmers Grain Co,105 SE Elm St,40.2622,-89.2303,424510,PM2.5 Primary (Filt + Cond,,0.2266781227,2011
Roanoke Farmers Assn,513 Front St,40.8503,-89.1195,424510,PM2.5 Primary (Filt + Cond,,0.46069569,2011
HILBERT S FUNNY FARM,Unknown,42.2105,-88.5197,48811,PM2.5 Primary (Filt + Cond,Airport,0.00949723,2011
Super Mix Inc,1201 New St,41.2415,-89.94,327320,PM2.5 Primary (Filt + Cond,,0.01728606182,2011
Varn International Inc A Flint Group Co,1333 N Kirk Rd,41.8647,-88.281,325910,PM2.5 Primary (Filt + Cond,,0.0962567,2011
Wendling Quarries Inc,Acker Rd,41.881,-90.0944,212312,PM2.5 Primary (Filt + Cond,,0,2011
St Elizabeth Hospital,211 S 3rd St,38.5099,-89.9898,622110,PM2.5 Primary (Filt + Cond,"Institutional (school, hospital, prison, etc.)",0.93,2011
SAUER,Unknown,41.0744,-88.4886,48811,PM2.5 Primary (Filt + Cond,Airport,0.007156,2011
Mid-American Growers,14240 Greenhouse Ave,41.2907,-89.1952,111421,PM2.5 Primary (Filt + Cond,,9.07,2011
Advanced Tri-Gen Power Systems Cogen Plant,1823 E Neal Ln,40.843,-89.5641,221112,PM2.5 Primary (Filt + Cond,Electricity Generation via Combustion,4.20846,2011
MC CHRISTY,Unknown,39.6448,-89.1457,48811,PM2.5 Primary (Filt + Cond,Airport,0.00760677,2011
Meyer Material Co,21000 McGuire Rd,42.4086,-88.6094,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0,2011
Huber Carbonates LLC,3150 Gardner Expy,39.8919,-91.4061,212312,PM2.5 Primary (Filt + Cond,,2.11,2011
Litchfield Municipal Airport,Us 66 S,39.1674,-89.6722,488119,PM2.5 Primary (Filt + Cond,Airport,0.7997008,2011
Rumbold & Kuhn Inc,17491 S Valley Rd,40.9889,-89.6478,424510,PM2.5 Primary (Filt + Cond,,0.214335266,2011
Vista Medical Center East,1324 N Sheridan Rd,42.3777,-87.8334,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
Pitchford Elevator Co,Rte 127 S,38.3219,-89.382,424510,PM2.5 Primary (Filt + Cond,,0.09415473,2011
MERKLE,Unknown,42.289,-90.3453,48811,PM2.5 Primary (Filt + Cond,Airport,0.00757084,2011
Mt  Carmel Airport,Rr 1 Box 54,38.6055,-87.726,488119,PM2.5 Primary (Filt + Cond,Airport,0.595726,2011
Centegra Hospital - McHenry,4201 Medical Center Dr,42.3169,-88.28,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
Callen Manufacturing Corp,13 E Lake St,41.9005,-87.9001,331523,PM2.5 Primary (Filt + Cond,"Foundries, non-ferrous",6.05448403,2011
National Technology Inc,1101 Carnegie St,42.0986,-88.0287,334412,PM2.5 Primary (Filt + Cond,,0.21249441,2011
Kelley & Spalding Funeral Home,1787 Deerfield Rd,42.1721,-87.8245,334512,PM2.5 Primary (Filt + Cond,,0.009,2011
Butterfield Color Inc,625 W Illinois Ave,41.771,-88.3309,325998,PM2.5 Primary (Filt + Cond,Chemical Plant,1.5181815,2011
Donovan Farmers Coop,Spring and Lincoln,40.8263,-87.586,424510,PM2.5 Primary (Filt + Cond,,0.3008118897,2011
Balboa Aggregates LLC,Getty & County Rd,42.1589,-88.5864,212321,PM2.5 Primary (Filt + Cond,,0.00001915274,2011
Quad County Ready Mix,2090 Washington,38.609,-89.3852,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.0025284792,2011
BLOCK,Unknown,42.1883,-89.8387,48811,PM2.5 Primary (Filt + Cond,Airport,0.00754961,2011
Midwest Material Co,804 Rte 26,41.0306,-89.4071,212321,PM2.5 Primary (Filt + Cond,,0.00815857,2011
Northeastern Illinois University,5500 N St Louis Ave,41.9818,-87.7195,611310,PM2.5 Primary (Filt + Cond,"Institutional (school, hospital, prison, etc.)",0.322,2011
